tweet,sentiment,emotion,class
arumai,positive,happy,non bully
pani poori ku pirandha unaku thaai mozhiyoda arumai theriya vaaipilla ongi sevul le vitta amma nu kathuviya mummy nu illa maatha ji nu kathuviya,negative,anger,bully
arumai,positive,happy,non bully
dmk ku vote potutomnu yarelam ipa feel panitu irukenga ipa teriyuthu daw eps uh unga arumai seirenganu ungala thappa pesi seira ivanugala kondu vandhu mudunju poch,negative,sad,non bully
appa irukura varaikum avarum enkita pesa mataru naanum pesa maten ipo appa ila yenguren irukura varaikum arumai theriyadhu evalo baaratha sumandhutu irundharu nu adha enoda thozh la vekurapo dha puriyudhu,positive,sad,non bully
arumai,positive,happy,non bully
arumai theriyala avingalauku,positive,sad,non bully
arumai sister,positive,happy,non bully
location arumai,positive,happy,non bully
arumai anna,positive,happy,non bully
arumai thambi,positive,happy,non bully
arumai,positive,happy,non bully
super arumai sister,positive,happy,non bully
trailer arumai,positive,happy,non bully
arumai da,positive,happy,non bully
arumai arumai nala vilakum,positive,surprise,non bully
arumai yana design akka nalla iruku akka,positive,happy,non bully
arumai arumai,positive,happy,non bully
alagana valimaiyana kundi oppatharku arumai,negative,disgust,bully
arumai yana pathivugal na,positive,happy,non bully
arumai arumai nala pathil,positive,happy,non bully
arumai yana vasakam,positive,happy,non bully
arumai doli avana serupalaye adikkanum,positive,anger,non bully
ethu peru thaan pottu vangarthu arumai arumai,positive,surprise,non bully
nandri,positive,happy,non bully
nandri bro,positive,happy,non bully
nandri nanbare,positive,happy,non bully
nandri annae,positive,happy,non bully
nandri anna,positive,happy,non bully
thats pm modi apology keta vayala nandri nu solla vachar pathingla manick baba,positive,surprise,non bully
nandri,positive,happy,non bully
veettukku kelambutn nandri,positive,happy,non bully
nandri thomas happening btw,positive,happy,non bully
nandri bro,positive,happy,non bully
nandri ka,positive,happy,non bully
nandri arasi,positive,surprise,non bully
template ku nandri,positive,surprise,non bully
nandri bro adhuku thaan hair vitutu iruken papomm,positive,happy,non bully
nandri bro always inspiring from pavi pup,positive,happy,non bully
nandri dr,positive,happy,non bully
nandri mams,positive,happy,non bully
nandri jd,positive,happy,non bully
nandri,positive,happy,non bully
ayyappan is youtube journalist to whom you givenfireyyy ipo exposed bb corrupted na edhuku ya unga vikraman ulla en vote panuna makkaluku nandri nu kathitu eruntharu modi kum oscar kum enna ya relationship puriala,neutral,sad,non bully
nandri anney,positive,happy,non bully
nandri pa,positive,happy,non bully
nandri dr,positive,happy,non bully
nandri mams,positive,happy,non bully
nandri bro,positive,happy,non bully
nandri vanakkam,positive,happy,non bully
nandri mams,positive,happy,non bully
nandri,positive,happy,non bully
nandri bro,positive,happy,non bully
itha quote tweet panathuku nandri,neutral,happy,non bully
nandri thomas when,positive,happy,non bully
nandri theivame,positive,happy,non bully
nandri anna,positive,happy,non bully
nandri kannan,positive,happy,non bully
nandri thalaivare,positive,happy,non bully
nandri anna,positive,happy,non bully
hai sir first congratulations to you and your team,positive,happy,non bully
nandri dr,positive,happy,non bully
loosu thayoli cini market epdi iruku nu paru da punda,negative,anger,bully
ada thevdia mavane loosu pund mathiri pesunathu nee naan yaaruku support panna unaku enna da punda soothu eriyuthu enna mayiruku naan potta post ku reply mayiru oombuna pundaya mooditu unnoda velaya paaru,negative,anger,bully
avan oru aalu punda bullet oru poolu punda ne oru kena punda,negative,anger,bully
intha pundaiku than ni yellam laayaku varusa punda van paniyum naai adangala,negative,anger,bully
ada makku punda tharukuri pundanu mani oru mura nirupikkura da na yenga ipl international soliruken kaatu da punda,negative,anger,bully
punda damage yen sunniya peru senthu kadichutu irukinga porumaiya than vaila kuduka mudiyum porumaiya varusaila ni lunga,negative,anger,bully
yethu ipl ranji trophy mariya ada cricket yennanu theriyuma da ipl na clup cricket da muttal punda,negative,anger,bully
dei lusu punda oruthan fraud panrana apuram yethuku avan kuda match aadura lusu pundaya ni,negative,anger,bully
thevdiyapayale na suresh oda post la comments panen da makku koothi unna tag panala da punda,negative,anger,bully
dei mi fixing panuthuna complaint pani ban panra malumutti punda,negative,anger,bully
muttal punda yaru yen comments vanthu aluthutu irukingapaaru da na adi vangurena kanavu pundaila valatha naaiye,negative,anger,bully
dei makku punda cricket pathi onnum theiryatha thathiya irukiye da,negative,anger,bully
ni yen sunniya pudichu oombirukka da punda first poi nalla paaru da vanraj thevdiyapayale,negative,anger,bully
ada makku punda typo error agurathukum na solra concept kum yenna da sambatham iruku lusu punda,negative,anger,bully
lusu punda trigger aagi olaratha da,negative,anger,bully
shumma iraa malumutti punda,negative,anger,bully
years pan punda aaittu ambani mafia pathi pesuthu paaru naai,negative,anger,bully
oh my paruppu puli theviduya punda,negative,anger,bully
yes bro punda avlo soft ah iruku maami ku,negative,anger,bully
othaa thayoli yaara nee physco kuthiya nee unkitta pesi time waste pannita punda ethvathu mananelli maruthuva manaila seridhu treatment paaru daa thambi illana un manakula iruku vandhu da pothu potta badu,negative,anger,bully
ippaium katharu da thevudiya punda,negative,anger,bully
look semmaya iruku da punda,negative,anger,bully
prakash kena punda,negative,anger,bully
unga amma ku punda irukka ookka vara solren,negative,anger,bully
gay punda dei,negative,anger,bully
ne vangiko da punda,negative,anger,bully
appo nee punda thevdiya,negative,anger,bully
poda punda,negative,anger,bully
dai nee mudra punda,negative,anger,bully
paathutu pesu da potta punda,negative,anger,bully
morattu rofl bro mass bro poda punda,negative,anger,bully
intha punda ithaan chance nu over ah panitu irukaan,negative,anger,bully
ivaru periya punda oodra sunni,negative,anger,bully
kalusada punda dei,negative,anger,bully
adei theavangu punda,negative,anger,bully
diractor acting theriumha wig anna dance aatuva sir diractor punda acting theriumha nu ketta loosu kothi maari dance aatuvanu sollra mental punda,negative,anger,bully
athayea ne social media la than da sollura pea punda,negative,anger,bully
unga amma punda irukku da thayoli mavane,negative,anger,bully
ada kiruku punda,negative,anger,bully
gommala snapchat ah ban panunga da pundaingala kasta pattu number vanguen daa gothaa punda snapchat video call pathutu cut panitu vanthuten da pundaa sunni thailee,negative,anger,bully
chi gay punda,negative,anger,bully
varisu nadichey apa trla koothi padam nu collection vanta periya iva avana award adra punda first,negative,anger,bully
ivan uthama punda ilanu enakku apovey theriyum ivana valathu vittathu intha kuthiyanuga than,negative,anger,bully
punda punda,negative,anger,bully
good morning da punda,negative,anger,bully
ungomma va neeyeh vdo eduthruka andha gundu punda ne dhana,negative,anger,bully
ivanga oru aalu punda padathula win pana mudila pundaingala,negative,anger,bully
kena punda palvadi,negative,anger,bully
yoww ennaya moonji punda idhu,negative,anger,bully
national award vj kita iruka da bunda talent iruntha thanda national award tharuvanga lusu punda,negative,anger,bully
vaiyatha ulla ilutha six pack ada dummy punda,negative,anger,bully
daii dummy punda ira award kum national award different theriyatha tharkuri atha vidu pa csk ethana award vangi irukan odaney vijay award nu sollitu vantharatha,negative,anger,bully
punda mane,negative,anger,bully
poda sotta punda,negative,anger,bully
enda punda unaku la interview eduka enna thagudhi irukuda,negative,anger,bully
yenda elumban devdiya payalae unnakku vj anna competitor aagalanu nenaippu punda irukko oththa vj annavoda flop movie gt gt gt gt unga career best movie da pae pundaingala,negative,anger,bully
ava dance punda attitude koothy lam paatha ericha punda than varuthu,negative,anger,bully
loosu thayoli cini market epdi iruku nu paru da punda,negative,anger,bully
ada thevdia mavane loosu pund mathiri pesunathu nee naan yaaruku support panna unaku enna da punda soothu eriyuthu enna mayiruku naan potta post ku reply mayiru oombuna pundaya mooditu unnoda velaya paaru,negative,anger,bully
avan oru aalu punda bullet oru poolu punda ne oru kena punda,negative,anger,bully
intha pundaiku than ni yellam laayaku varusa punda van paniyum naai adangala,negative,anger,bully
ada makku punda tharukuri pundanu mani oru mura nirupikkura da na yenga ipl international soliruken kaatu da punda,negative,anger,bully
punda damage yen sunniya peru senthu kadichutu irukinga porumaiya than vaila kuduka mudiyum porumaiya varusaila ni lunga,negative,anger,bully
yethu ipl ranji trophy mariya ada cricket yennanu theriyuma da ipl na clup cricket da muttal punda,negative,anger,bully
dei lusu punda oruthan fraud panrana apuram yethuku avan kuda match aadura lusu pundaya ni,negative,anger,bully
thevdiyapayale na suresh oda post la comments panen da makku koothi unna tag panala da punda,negative,anger,bully
dei mi fixing panuthuna complaint pani ban panra malumutti punda,negative,anger,bully
muttal punda yaru yen comments vanthu aluthutu irukingapaaru da na adi vangurena kanavu pundaila valatha naaiye,negative,anger,bully
dei makku punda cricket pathi onnum theiryatha thathiya irukiye da,negative,anger,bully
ni yen sunniya pudichu oombirukka da punda first poi nalla paaru da vanraj thevdiyapayale,negative,anger,bully
