tweet,sentiment
arumai,positive
arumai,positive
appa irukura varaikum avarum enkita pesa mataru naanum pesa maten ipo appa ila yenguren irukura varaikum arumai theriyadhu evalo baaratha sumandhutu irundharu nu adha enoda thozh la vekurapo dha puriyudhu,positive
arumai,positive
arumai theriyala avingalauku,positive
arumai sister,positive
location arumai,positive
arumai anna,positive
arumai thambi,positive
arumai,positive
super arumai sister,positive
trailer arumai,positive
arumai da,positive
arumai arumai nala vilakum,positive
arumai yana design akka nalla iruku akka,positive
arumai arumai,positive
arumai yana pathivugal na,positive
arumai arumai nala pathil,positive
arumai yana vasakam,positive
arumai doli avana serupalaye adikkanum,positive
ethu peru thaan pottu vangarthu arumai arumai,positive
nandri,positive
nandri bro,positive
nandri nanbare,positive
nandri annae,positive
nandri anna,positive
thats pm modi apology keta vayala nandri nu solla vachar pathingla manick baba,positive
nandri,positive
veettukku kelambutn nandri,positive
nandri thomas happening btw,positive
nandri bro,positive
nandri ka,positive
nandri arasi,positive
template ku nandri,positive
nandri bro adhuku thaan hair vitutu iruken papomm,positive
nandri bro always inspiring from pavi pup,positive
nandri dr,positive
nandri mams,positive
nandri jd,positive
nandri,positive
nandri anney,positive
nandri pa,positive
nandri dr,positive
nandri mams,positive
nandri bro,positive
nandri vanakkam,positive
nandri mams,positive
nandri,positive
nandri bro,positive
nandri thomas when,positive
nandri theivame,positive
nandri anna,positive
nandri kannan,positive
nandri thalaivare,positive
nandri anna,positive
hai sir first congratulations to you and your team,positive
nandri dr,positive
mohan tnr bfc la plan ennava irukum ennava irukanum neenga enna ninaikuringa siva sakthi injury nala,positive
vikraman fan nu proof lam thevaye padathu kamalii nama fandom ku kudukura respect how we treat our own fandom genuine ah irukanum adhuku proof theva ila,positive
namma karuthu makkaluku nallatha irukanum madam,positive
muttu na ipdi irukanum hari nadar jeichalum paravala uma nallavan,positive
transformation ah ipdi irukanum,positive
niyathin pakkam epavum irukanum,positive
thirudanuku thael kothuna mari pothitu irukanum nenga pesuna desha bakthi ah da nanga pesuna thapa da,positive
rendu perum same time onlinela irukanum thambi,positive
irukanum nu asa patanga ana illa irunthalum promote panuvom nu panitu irukaga,positive
athu taste ah irukanum illana mothama oothikum,positive
ama negative shade character nu pottu irukanum,positive
sari sari kudichitu amaithiya irukanum sariya,positive
story plot heavya irukanum ninaipom asaulta allow pannida kudadhu adhuku avan podra effort seducing balama irukanum,positive
nov anna entry mass ah irukanum arrange pannidunga,positive
ithukku than solrathu namma aaal oruthan ulla irukanum nu tq sirrrr,positive
amith mathiri oru friend sindhu mathiri oru wife amp adithya mathiri oru friend ithellam kedaikanumna konjam kudigaranaa attitudeirukanum,positive
anna tharama irukanum industry alaranum anna,positive
enna aanalum jolly ah irukanum,positive
niyathin pakkam irukanum,positive
chennai odi also nitin menon dhaan umpire ah irukanum you can see all your favourites alltime,positive
revenge na ipadi tha irukanum,positive
ma neee inimel unnoda daughter kaka nalla iru pathukkao ok va avalukku dream favorite pudicha madhiri job sports or everything accept panni congratulations panni vali anupu and innoru vishyam fake guys kitta irundhu unnoda ponnu ku eppidi strong uh irukanum,positive
happy birthday machan treat kudukama poiduviya niii inimelachu kurumbu pannama irukanum,positive
congratulations both kadasi vara ipadiya positive vibesoda rendu perum irukanum,positive
ipdiyea irukanum oli agamaa irukanum kadavulea,positive
varusam bjp kaala pudichi aatchi senjappo intha veeram irunthu irukanum,positive
enga ponalum thirubi poga oru veedu venum athunala namaku puduchavaga irukanum ilana entha travel um nalla irukathu bro,positive
first time vijay preponed his movie release before diwali bcoz diwlai locked for antha bayam irukanum daa effect,positive
kalutha pudichite ukkandhu irukanum station varaikum idhukagave neraya vati door kitte stading la varuve,positive
deep analysis super sir,positive
super,positive
super ponga,positive
super super annaam waiting,positive
super morning,positive
super na,positive
super appo no alliances with admk thanaae,positive
ok mams super,positive
super ji,positive
super tholi,positive
rd sema comedy super thambi,positive
super,positive
sema super ah irukku ivlo kammiyana idathula kana katchithama stylish kattirunga valthukkal,positive
naan inniki concert poren such an inspiration he ism super excited,positive
super idea boss,positive
oh super na abuse pannana wharey whaaa enga kudunga papom,positive
akila ulaga black hole super star,positive
nee yarukku vote potta ivanuka,positive
kannukku munnaadi oru periya katchiyae attaya potta unnaye evanum ketkala ithava ketka poranuga pavamda makkal ungala mari thirudanuga kitta mattikttanga,positive
avanga shivik pota ignore panna soldringa athe maari engaluku shivin pudikala nanga crop panni potta ignore pannitu poga vendithane en quote panni katharanum ivlo per vanthu neenga avangala sollama engata sollitu irukinga,positive
marfin pic potta nena pa bro,positive
hai nega potta photos samaya irukku,positive
virat potta podhum,positive
ohh music potta tha award kodupigala ennoda adutha padathula na tha music director podu da bgm,positive
indha comment ah andha page la potta nallarukkum,positive
ohh athan unga anna biriyani meeting potta appo phone media allow pannalayo,positive
thu pothuva potta pathivu ithana per enna nu kekka vanthanga paathingala ellarumey comment ku reply pannala pola,positive
promo la epdi ney teriyum athukulla epdi judge panreng fans naama pesrathu vera page post podrathu vera leo hype is because of loki nu oru tweet sfc page potta ineram enna enna solli irupenga,positive
ipadi emoticon potta neenga innum oru dozen time visit panni confuse aaganum,positive
da da vera level movie coffee,positive
shorts Ullathiley nee irukka unnai nambi Nan iruka  Dr  Seergazhi S        via,positive
Enaku oru aasai inga iruka nirya peru oda orginal photo parkanumnu especially u  amp  shakthi boy,positive
Un kaila thanda maname iruka avengers kang dynasty script a nalla writing panniruda samy,positive
Nanum iruka romba nanri,positive
Kaathukute iruka vendiyadhu dhan,positive
FZ  Ethuku vekka padanu perumaiya solluven da ak fan Nu ak nadika theriyamala mela vantharu funda   paavam nee enna pannuva   avan olunga movie select panni naduchu iruntha avan yen ippadi   peru fan oda iruka poran,positive
h  S         En heart la iruka open panava door ah,positive
Andavar with his hairstylist Pradeep Nissanka Nish    Theeya iruka yaaaaa KamalHaasan Indian,positive
